Name	Year 	Max. Winds (kt) 	Central Pressure (mb) 	Category	States Affected and Category by States 	Month 
-----	1851	80	977 mb 	1	"TX, C1 "	Jun 
“Great Middle Florida”	1851	100	960	3	"FL, NW3; GA, 1 "	Aug
-----	1852	80	977	1	"FL, SW1 "	Aug
“Great Mobile”	1852	100	961	3	"AL, 3; MS, 3; LA, 2; FL, NW1 "	Aug
-----	1852	70	985	1	"FL, SW1 "	Sept
“Middle Florida”	1852	90	969	2	"FL, NW2; GA, 1 "	Oct
-----	1853	70	965	1	"GA, 1 "	Oct
-----	1854	70	985	1	"TX, S1 "	Jun 
“Great Carolina”	1854	100	950	3	"GA, 3; SC, 2; FL, NE1 "	Sept
“Matagorda”	1854	90	969	2	"TX, C2 "	Sept
“Middle Gulf Shore”	1855	110	950	3	"LA, 3; MS, 3 "	Sept
“Last Island”	1856	130	934	4	"LA, 4 "	Aug
“Southeastern States”	1856	90	969	2	"FL, NW2; AL, 1; GA, 1 "	Aug
-----	1857	80	961	1	"NC, 1 "	Sept
“New England”	1858	80	976	1	"NY, 1; CT, 1; RI, 1; MA, 1 "	Sept
-----	1859	70	985	1	"AL, 1; FL, NW1 "	Sept
-----	1860	110	950	3	"LA, 3; MS, 3; AL, 2 "	Aug
-----	1860	90	969	2	"LA, 2; MS, 2; AL, 1 "	Sept
-----	1860	90	969	2	"LA, 2 "	Oct
“Key West”	1861	70	970	1	"FL, SW1 "	Aug
“Equinoctial”	1861	70	985	1	"NC, 1 "	Sept
“Expedition”	1861	70	985	1	"NC, 1 "	Nov
“Sabine River-Lake Calcasieu”	1865	90	969	2	"LA, 2; TX, N1 "	Sept
-----	1865	90	969	2	"FL, SW2; FL, SE1 "	Oct
-----	1866	90	969	2	"TX, C2 "	Jul 
-----	1867	70	985	1	"SC, 1 "	Jun 
“Galveston”	1867	90	969	2	"LA, 2; TX, S1, N1; FL, NW1 "	Oct
“Lower Texas Coast”	1869	90	969	2	"TX, C2 "	Aug
-----	1869	70	985	1	"LA, 1 "	Sept
“Eastern New England”	1869	100	963	3	"RI, 3; MA, 3; NY, 1; CT, 1 "	Sept
